Alert ID,Ticker,Name,Description,Time
274959502,"BINANCE:BTCUSDTPERP, 1m",BTC 1m Bull divergence,"{
  ""tf"": ""1m"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-26T10:42:00Z"",
  ""close"": ""43122.565"",
  ""open"": ""43086.467753247765"",
  ""high"": ""43150"",
  ""low"": ""43086.467753247765"",
  ""volume"": ""347.256""
}",2021-09-26T10:43:00.000Z
275172618,"BINANCE:XRPUSDTPERP, 1m",XRP 1m Bear divergence,"{
  ""tf"": ""1m"",
  ""side"": ""Sell"",
  ""ticker"": ""XRPUSDTPERP"",
  ""time"": ""2021-09-26T09:55:00Z"",
  ""close"": ""0.9382999999999999"",
  ""open"": ""0.9379895566571304"",
  ""high"": ""0.9408"",
  ""low"": ""0.937"",
  ""volume"": ""1437285.9""
}",2021-09-26T09:56:00.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Buy"",""symbol"":""ETHUSDT"",""qty"":0.0875,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-26T09:47:33.000Z
277223296,"BINANCE:BTCUSDTPERP, 1h",,Go long,2021-09-26T09:47:06.000Z
274957709,"BINANCE:BTCUSDTPERP, 1m",BTC 1m Bear divergence,"{
  ""tf"": ""1m"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-26T09:32:00Z"",
  ""close"": ""42429.9075"",
  ""open"": ""42349.48690072184"",
  ""high"": ""42495.99"",
  ""low"": ""42349.48690072184"",
  ""volume"": ""817.387""
}",2021-09-26T09:33:00.000Z
273881650,"BINANCE:ETHUSDTPERP, 5m",[test acc4] TFS Signal Strategy,"{
  ""v"": ""1"",
  ""auth"": ""ad616be0-0740-4b6a-8453-b948c2f95494"",
  ""msg"": ""test acc4: TFS Signal Strategy"",
  ""do"": [
    {
      ""action"": ""create_order"",
      ""data"": {
        ""side"": ""buy"",
        ""symbol"": ""ETHUSDT"",
        ""order_type"": ""Market"",
        ""qty"": 0.2767,
        ""reduce_only"": false
      }
    }
  ]
}",2021-09-26T09:25:00.000Z
275016341,"BINANCE:XRPUSDTPERP, 2m",XRP 2m Bull divergence,"{
  ""tf"": ""2m"",
  ""side"": ""Buy"",
  ""ticker"": ""XRPUSDTPERP"",
  ""time"": ""2021-09-26T08:34:00Z"",
  ""close"": ""0.8999250000000001"",
  ""open"": ""0.9007394479767388"",
  ""high"": ""0.902"",
  ""low"": ""0.8983"",
  ""volume"": ""965395.6""
}",2021-09-26T08:36:00.000Z
274957709,"BINANCE:BTCUSDTPERP, 1m",BTC 1m Bear divergence,"{
  ""tf"": ""1m"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-26T07:25:00Z"",
  ""close"": ""41797.0175"",
  ""open"": ""41852.061877012384"",
  ""high"": ""41852.061877012384"",
  ""low"": ""41762.1"",
  ""volume"": ""857.275""
}",2021-09-26T07:26:00.000Z
275033546,"BINANCE:XRPUSDTPERP, 10m",XRP 10m Bull divergence,"{
  ""tf"": ""10m"",
  ""side"": ""Buy"",
  ""ticker"": ""XRPUSDTPERP"",
  ""time"": ""2021-09-26T07:10:00Z"",
  ""close"": ""0.9209"",
  ""open"": ""0.9198515102093195"",
  ""high"": ""0.9234"",
  ""low"": ""0.9174"",
  ""volume"": ""4818726.299999999""
}",2021-09-26T07:20:00.000Z
275016341,"BINANCE:XRPUSDTPERP, 2m",XRP 2m Bull divergence,"{
  ""tf"": ""2m"",
  ""side"": ""Buy"",
  ""ticker"": ""XRPUSDTPERP"",
  ""time"": ""2021-09-26T06:24:00Z"",
  ""close"": ""0.9215249999999999"",
  ""open"": ""0.9199381098978158"",
  ""high"": ""0.9223"",
  ""low"": ""0.9199381098978158"",
  ""volume"": ""876426.9""
}",2021-09-26T06:26:00.000Z
