Alert ID,Ticker,Name,Description,Time
273881650,"BINANCE:ETHUSDTPERP, 5m",[test acc4] TFS Signal Strategy,"{
  ""v"": ""1"",
  ""auth"": ""ad616be0-0740-4b6a-8453-b948c2f95494"",
  ""msg"": ""test acc4: TFS Signal Strategy"",
  ""do"": [
    {
      ""action"": ""create_order"",
      ""data"": {
        ""side"": ""sell"",
        ""symbol"": ""ETHUSDT"",
        ""order_type"": ""Market"",
        ""qty"": 0.2746,
        ""reduce_only"": true
      }
    }
  ]
}",2021-09-10T04:00:00.000Z
251465803,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T02:00:00Z"",
  ""close"": ""46900.27"",
  ""open"": ""46900.27"",
  ""high"": ""46900.27"",
  ""low"": ""46900.27"",
  ""volume"": ""0.001""
}",2021-09-10T02:00:00.000Z
251466798,"BINANCE:BTCUSDTPERP, 6h",banktrader,"{
  ""tf"": ""6h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T00:00:00Z"",
  ""close"": ""46902.38"",
  ""open"": ""46413.88"",
  ""high"": ""46902.38"",
  ""low"": ""46270"",
  ""volume"": ""11654.789000002833""
}",2021-09-10T01:35:50.000Z
273881650,"BINANCE:ETHUSDTPERP, 5m",[test acc4] TFS Signal Strategy,"{
  ""v"": ""1"",
  ""auth"": ""ad616be0-0740-4b6a-8453-b948c2f95494"",
  ""msg"": ""test acc4: TFS Signal Strategy"",
  ""do"": [
    {
      ""action"": ""create_order"",
      ""data"": {
        ""side"": ""buy"",
        ""symbol"": ""ETHUSDT"",
        ""order_type"": ""Market"",
        ""qty"": 0.2746,
        ""reduce_only"": false
      }
    }
  ]
}",2021-09-10T01:15:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-10T00:45:06.000Z
251466096,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T00:00:00Z"",
  ""close"": ""46332.3"",
  ""open"": ""46413.88"",
  ""high"": ""46511.85"",
  ""low"": ""46332.3"",
  ""volume"": ""1712.1149999999786""
}",2021-09-10T00:12:23.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-09T23:15:11.000Z
258559196,"BINANCE:ETHUSDTPERP, 5m",,sell DIAMOND ETHUSDTPERP,2021-09-09T21:55:01.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T18:00:00Z"",
  ""close"": ""46698.01"",
  ""open"": ""46781.15"",
  ""high"": ""46843.41"",
  ""low"": ""46698.01"",
  ""volume"": ""2124.5969999999306""
}",2021-09-09T18:12:38.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-09T16:45:01.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-09T13:30:01.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T12:00:00Z"",
  ""close"": ""45767.68"",
  ""open"": ""46289.6"",
  ""high"": ""46550"",
  ""low"": ""45767.68"",
  ""volume"": ""14192.582000002703""
}",2021-09-09T12:31:55.000Z
251466096,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T12:00:00Z"",
  ""close"": ""45796"",
  ""open"": ""46289.6"",
  ""high"": ""46550"",
  ""low"": ""45796"",
  ""volume"": ""14122.021000002649""
}",2021-09-09T12:31:53.000Z
251466638,"BINANCE:BTCUSDTPERP, 4h",banktrader,"{
  ""tf"": ""4h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T12:00:00Z"",
  ""close"": ""46289.6"",
  ""open"": ""46289.6"",
  ""high"": ""46289.6"",
  ""low"": ""46289.6"",
  ""volume"": ""0.044""
}",2021-09-09T12:00:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-09T11:45:11.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T11:00:00Z"",
  ""close"": ""46090.85"",
  ""open"": ""46160.75"",
  ""high"": ""46175.97"",
  ""low"": ""46090.85"",
  ""volume"": ""223.91100000000023""
}",2021-09-09T11:01:07.000Z
251466638,"BINANCE:BTCUSDTPERP, 4h",banktrader,"{
  ""tf"": ""4h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T08:00:00Z"",
  ""close"": ""46414.46"",
  ""open"": ""46271.64"",
  ""high"": ""46414.46"",
  ""low"": ""46207.4"",
  ""volume"": ""2931.551000000086""
}",2021-09-09T08:08:57.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-09T07:45:14.000Z
251466096,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T06:00:00Z"",
  ""close"": ""45934.3"",
  ""open"": ""46312.98"",
  ""high"": ""46371.95"",
  ""low"": ""45934.3"",
  ""volume"": ""8471.95700000215""
}",2021-09-09T07:02:52.000Z
251465978,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T04:00:00Z"",
  ""close"": ""46227.35"",
  ""open"": ""46013.55"",
  ""high"": ""46227.35"",
  ""low"": ""45935.16"",
  ""volume"": ""3957.1160000007326""
}",2021-09-09T04:24:58.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-09T03:45:08.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T03:00:00Z"",
  ""close"": ""45697"",
  ""open"": ""45755.09"",
  ""high"": ""45895.93"",
  ""low"": ""45697"",
  ""volume"": ""1250.409999999966""
}",2021-09-09T03:04:37.000Z
251466096,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-09T02:00:00Z"",
  ""close"": ""45914.92"",
  ""open"": ""46110.1"",
  ""high"": ""46274.72"",
  ""low"": ""45914.92"",
  ""volume"": ""4426.128000000635""
}",2021-09-09T02:28:37.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-08T22:15:06.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-08T19:15:03.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-08T16:45:00.000Z
251465978,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-08T16:00:00Z"",
  ""close"": ""46249.4"",
  ""open"": ""46099.44"",
  ""high"": ""46249.4"",
  ""low"": ""45888"",
  ""volume"": ""6383.763000000852""
}",2021-09-08T16:24:11.000Z
251465978,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-08T14:00:00Z"",
  ""close"": ""46343.49"",
  ""open"": ""46343.49"",
  ""high"": ""46343.49"",
  ""low"": ""46343.49"",
  ""volume"": ""0.02""
}",2021-09-08T14:00:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-08T13:45:06.000Z
258559196,"BINANCE:ETHUSDTPERP, 5m",,buy DIAMOND ETHUSDTPERP,2021-09-08T13:15:00.000Z
251465803,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-08T11:00:00Z"",
  ""close"": ""46469.35"",
  ""open"": ""46469.35"",
  ""high"": ""46469.35"",
  ""low"": ""46469.35"",
  ""volume"": ""0.001""
}",2021-09-08T11:00:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-08T08:45:02.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T08:19:41.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T08:19:20.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T08:19:15.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T08:15:45.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T08:00:45.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T08:00:18.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T08:00:15.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T07:58:32.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T07:58:30.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T07:58:25.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T07:58:15.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-08T06:48:14.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-08T04:00:00Z"",
  ""close"": ""46461.53"",
  ""open"": ""46461.53"",
  ""high"": ""46461.53"",
  ""low"": ""46461.53"",
  ""volume"": ""0.025""
}",2021-09-08T04:00:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-08T00:45:08.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-07T22:30:03.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T21:42:16.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T21:42:12.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T21:41:30.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T21:27:00.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T21:23:30.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T21:17:02.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:56:48.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:55:30.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:55:15.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:41:32.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:41:20.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:41:16.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:41:04.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T20:41:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-07T19:00:00.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T18:15:54.000Z
251465803,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-07T16:00:00Z"",
  ""close"": ""46640.55"",
  ""open"": ""46640.55"",
  ""high"": ""46640.55"",
  ""low"": ""46640.55"",
  ""volume"": ""0.012""
}",2021-09-07T16:00:00.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":300,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T15:43:32.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":false,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T15:43:30.000Z
235957736,"BINANCE:ETHUSDT, 15s",test acc2 15s aggressive dca scalper,"{""side"":""Sell"",""symbol"":""ETHUSDT"",""qty"":1.534,""exit"":true,""bot"":""bybitTestnetAcc2"",""auth"":""ad616be0-0740-4b6a-8453-b948c2f95494""}",2021-09-07T15:07:45.000Z
251467928,"BINANCE:BTCUSDTPERP, 1D",banktrader,"{
  ""tf"": ""24h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-07T00:00:00Z"",
  ""close"": ""47675.5"",
  ""open"": ""52683.98"",
  ""high"": ""52950"",
  ""low"": ""47675.5"",
  ""volume"": ""358557.566""
}",2021-09-07T15:00:08.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-07T15:00:04.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-07T10:45:10.000Z
251467242,"BINANCE:BTCUSDTPERP, 12h",banktrader,"{
  ""tf"": ""12h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-07T00:00:00Z"",
  ""close"": ""50963"",
  ""open"": ""52683.98"",
  ""high"": ""52950"",
  ""low"": ""50963"",
  ""volume"": ""165811.04999971658""
}",2021-09-07T09:42:55.000Z
251467067,"BINANCE:BTCUSDTPERP, 8h",banktrader,"{
  ""tf"": ""8h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-07T08:00:00Z"",
  ""close"": ""51110.31"",
  ""open"": ""52379.51"",
  ""high"": ""52397.46"",
  ""low"": ""51110.31"",
  ""volume"": ""74841.62499995419""
}",2021-09-07T09:42:04.000Z
251466096,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-07T08:00:00Z"",
  ""close"": ""52379.51"",
  ""open"": ""52379.51"",
  ""high"": ""52379.51"",
  ""low"": ""52379.51"",
  ""volume"": ""0.002""
}",2021-09-07T08:00:13.000Z
251466719,"BINANCE:BTCUSDTPERP, 4h",banktrader,"{
  ""tf"": ""4h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-07T08:00:00Z"",
  ""close"": ""52379.51"",
  ""open"": ""52379.51"",
  ""high"": ""52379.51"",
  ""low"": ""52379.51"",
  ""volume"": ""0.002""
}",2021-09-07T08:00:13.000Z
258559196,"BINANCE:ETHUSDTPERP, 5m",,sell DIAMOND ETHUSDTPERP,2021-09-07T05:05:00.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-07T05:00:00Z"",
  ""close"": ""52550.61"",
  ""open"": ""52550.61"",
  ""high"": ""52550.61"",
  ""low"": ""52550.61"",
  ""volume"": ""0.043""
}",2021-09-07T05:00:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-07T02:30:12.000Z
251465978,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-06T20:00:00Z"",
  ""close"": ""52039.01"",
  ""open"": ""51756.43"",
  ""high"": ""52039.01"",
  ""low"": ""51669.48"",
  ""volume"": ""12373.339000003401""
}",2021-09-06T21:37:11.000Z
251465803,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-06T19:00:00Z"",
  ""close"": ""51856.61"",
  ""open"": ""51856.61"",
  ""high"": ""51856.61"",
  ""low"": ""51856.61"",
  ""volume"": ""0.005""
}",2021-09-06T19:00:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-06T17:45:09.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-06T14:15:06.000Z
251466096,"BINANCE:BTCUSDTPERP, 2h",banktrader,"{
  ""tf"": ""2h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-06T10:00:00Z"",
  ""close"": ""51466.3"",
  ""open"": ""51843.22"",
  ""high"": ""52244"",
  ""low"": ""51466.3"",
  ""volume"": ""37319.263000002386""
}",2021-09-06T11:41:11.000Z
